,place,movie_title,rating,year,star_cast
109,110,To Kill a Mockingbird,8.22566034098201,1962,"Robert Mulligan (dir.), Gregory Peck, John Megna"
110,111,Heat,8.225402483531433,1995,"Michael Mann (dir.), Al Pacino, Robert De Niro"
111,112,The Sting,8.224723337195934,1973,"George Roy Hill (dir.), Paul Newman, Robert Redford"
112,113,Up,8.224684970389783,2009,"Pete Docter (dir.), Edward Asner, Jordan Nagai"
113,114,Jodaeiye Nader az Simin,8.221395013647163,2011,"Asghar Farhadi (dir.), Payman Maadi, Leila Hatami"
114,115,Metropolis,8.220655741489804,1927,"Fritz Lang (dir.), Brigitte Helm, Alfred Abel"
115,116,Taxi Driver,8.21973435234749,1976,"Martin Scorsese (dir.), Robert De Niro, Jodie Foster"
116,117,LA Confidential,8.218694627723911,1997,"Curtis Hanson (dir.), Kevin Spacey, Russell Crowe"
117,118,Die Hard,8.217751954588998,1988,"John McTiernan (dir.), Bruce Willis, Alan Rickman"
118,119,Snatch,8.217129075409687,2000,"Guy Ritchie (dir.), Jason Statham, Brad Pitt"
119,120,Indiana Jones and the Last Crusade,8.216741295292183,1989,"Steven Spielberg (dir.), Harrison Ford, Sean Connery"
120,121,Ladri di biciclette,8.215936175899085,1948,"Vittorio De Sica (dir.), Lamberto Maggiorani, Enzo Staiola"
121,122,Taare Zameen Par,8.212846780499012,2007,"Aamir Khan (dir.), Darsheel Safary, Aamir Khan"
122,123,1917,8.211037777163238,2019,"Sam Mendes (dir.), Dean-Charles Chapman, George MacKay"
123,124,Der Untergang,8.203354014477034,2004,"Oliver Hirschbiegel (dir.), Bruno Ganz, Alexandra Maria Lara"
124,125,Dangal,8.200009746646616,2016,"Nitesh Tiwari (dir.), Aamir Khan, Sakshi Tanwar"
125,126,Per qualche dollaro in più,8.199056554571591,1965,"Sergio Leone (dir.), Clint Eastwood, Lee Van Cleef"
126,127,Batman Begins,8.197456510667156,2005,"Christopher Nolan (dir.), Christian Bale, Michael Caine"
127,128,The Kid,8.191195018705226,1921,"Charles Chaplin (dir.), Charles Chaplin, Edna Purviance"
128,129,Some Like It Hot,8.190630318108596,1959,"Billy Wilder (dir.), Marilyn Monroe, Tony Curtis"
129,130,The Father,8.18160402767157,2020,"Florian Zeller (dir.), Anthony Hopkins, Olivia Colman"
130,131,All About Eve,8.180016713308392,1950,"Joseph L. Mankiewicz (dir.), Bette Davis, Anne Baxter"
131,132,The Wolf of Wall Street,8.17763765121111,2013,"Martin Scorsese (dir.), Leonardo DiCaprio, Jonah Hill"
132,133,Green Book,8.177550907852567,2018,"Peter Farrelly (dir.), Viggo Mortensen, Mahershala Ali"
133,134,Judgment at Nuremberg,8.171644562718175,1961,"Stanley Kramer (dir.), Spencer Tracy, Burt Lancaster"
134,135,Ran,8.164255593524329,1985,"Akira Kurosawa (dir.), Tatsuya Nakadai, Akira Terao"
135,136,Casino,8.163919812100422,1995,"Martin Scorsese (dir.), Robert De Niro, Sharon Stone"
136,137,The Truman Show,8.160766550736616,1998,"Peter Weir (dir.), Jim Carrey, Ed Harris"
137,138,Pan's Labyrinth,8.160655523628902,2006,"Guillermo del Toro (dir.), Ivana Baquero, Ariadna Gil"
138,139,There Will Be Blood,8.160151125779796,2007,"Paul Thomas Anderson (dir.), Daniel Day-Lewis, Paul Dano"
139,140,Unforgiven,8.158859749556356,1992,"Clint Eastwood (dir.), Clint Eastwood, Gene Hackman"
140,141,The Sixth Sense,8.154527173648288,1999,"M. Night Shyamalan (dir.), Bruce Willis, Haley Joel Osment"
141,142,Shutter Island,8.152754647941613,2010,"Martin Scorsese (dir.), Leonardo DiCaprio, Emily Mortimer"
142,143,A Beautiful Mind,8.151006875573481,2001,"Ron Howard (dir.), Russell Crowe, Ed Harris"
143,144,Jurassic Park,8.149013471230658,1993,"Steven Spielberg (dir.), Sam Neill, Laura Dern"
144,145,Yôjinbô,8.147923409685346,1961,"Akira Kurosawa (dir.), Toshirô Mifune, Eijirô Tôno"
145,146,The Treasure of the Sierra Madre,8.147243761903724,1948,"John Huston (dir.), Humphrey Bogart, Walter Huston"
146,147,Monty Python and the Holy Grail,8.145863619158845,1975,"Terry Gilliam (dir.), Graham Chapman, John Cleese"
147,148,The Great Escape,8.140103614230268,1963,"John Sturges (dir.), Steve McQueen, James Garner"
148,149,No Country for Old Men,8.13988265731939,2007,"Ethan Coen (dir.), Tommy Lee Jones, Javier Bardem"
149,150,Kill Bill: Vol 1,8.138932764074648,2003,"Quentin Tarantino (dir.), Uma Thurman, David Carradine"
150,151,Rashômon,8.138138543292019,1950,"Akira Kurosawa (dir.), Toshirô Mifune, Machiko Kyô"
151,152,Spider-Man: No Way Home,8.136850379183384,2021,"Jon Watts (dir.), Tom Holland, Zendaya"
152,153,The Thing,8.1333899098973,1982,"John Carpenter (dir.), Kurt Russell, Wilford Brimley"
153,154,Finding Nemo,8.131404517649191,2003,"Andrew Stanton (dir.), Albert Brooks, Ellen DeGeneres"
154,155,The Elephant Man,8.12710616287706,1980,"David Lynch (dir.), Anthony Hopkins, John Hurt"
155,156,Chinatown,8.125682365747338,1974,"Roman Polanski (dir.), Jack Nicholson, Faye Dunaway"
156,157,Raging Bull,8.123178224938936,1980,"Martin Scorsese (dir.), Robert De Niro, Cathy Moriarty"
157,158,V for Vendetta,8.122697806349107,2005,"James McTeigue (dir.), Hugo Weaving, Natalie Portman"
158,159,Gone with the Wind,8.12219137351911,1939,"Victor Fleming (dir.), Clark Gable, Vivien Leigh"
159,160,"Lock, Stock and Two Smoking Barrels",8.120394591927614,1998,"Guy Ritchie (dir.), Jason Flemyng, Dexter Fletcher"
160,161,Inside Out,8.120138262078138,2015,"Pete Docter (dir.), Amy Poehler, Bill Hader"
161,162,Dial M for Murder,8.11963364394964,1954,"Alfred Hitchcock (dir.), Ray Milland, Grace Kelly"
